min_row,min_col,max_row,max_col,pos_x,pos_y,neg_x,neg_y
250,205,255,213,208,252,205,250
239,76,255,95,85,248,76,239
236,203,248,221,207,240,203,236
225,165,245,193,174,227,165,226
225,150,239,165,157,230,150,226
225,135,237,147,140,230,135,226
221,97,238,107,102,230,97,222
218,109,238,125,114,226,109,219
209,74,227,90,82,219,74,210
207,126,225,141,134,212,126,208
195,29,210,48,42,200,29,195
186,179,194,193,183,190,179,186
178,88,194,106,94,187,88,179
173,161,186,178,169,178,161,174
166,184,185,199,192,173,184,166
166,1,178,15,10,174,1,166
160,37,175,55,44,169,37,161
153,134,169,152,143,161,134,153
144,114,169,128,121,148,114,144
141,95,163,111,105,148,95,142
120,34,134,46,41,130,34,121
117,98,123,104,101,120,98,117
111,164,132,182,169,117,164,111
103,175,120,189,183,113,175,104
97,22,108,34,27,104,22,98
87,17,96,34,22,91,17,87
81,151,101,165,156,84,151,82
74,159,82,171,166,78,159,77
71,135,90,155,140,81,135,71
71,37,89,54,44,77,37,71
69,235,91,250,244,73,235,72
62,116,82,130,124,75,116,63
59,179,72,202,189,66,179,60
57,9,68,17,11,61,9,58
55,53,72,69,62,62,53,55
44,129,59,151,137,50,129,44
35,206,52,221,213,44,206,35
32,107,47,126,113,39,107,33
30,153,46,167,160,37,153,30
22,74,52,90,80,28,74,23
2,13,33,25,19,20,13,2
