min_row,min_col,max_row,max_col,pos_x,pos_y,neg_x,neg_y
251,190,255,195,192,253,190,255
248,234,255,243,237,251,234,248
247,71,254,80,77,251,71,248
243,96,249,103,99,247,96,243
238,8,252,21,15,243,8,239
236,191,252,215,210,243,191,236
235,217,245,232,222,241,217,235
233,233,241,239,236,238,233,234
232,49,246,66,55,239,49,233
227,114,231,120,116,229,114,229
225,84,233,93,87,229,84,225
223,186,235,194,189,232,186,223
223,99,245,121,117,239,99,223
219,202,234,235,206,222,202,220
218,123,230,138,130,222,123,219
218,2,238,16,10,228,2,218
215,228,221,234,230,218,228,216
215,181,222,188,184,219,181,215
208,9,216,20,15,211,9,209
207,44,224,74,59,215,44,208
206,85,224,97,91,210,85,207
195,46,204,53,49,199,46,195
187,2,207,23,8,198,2,189
181,221,189,228,225,185,221,182
174,11,186,26,17,181,11,174
169,143,188,162,154,180,143,170
162,74,177,94,85,167,74,163
159,49,174,66,54,163,49,159
149,6,162,30,18,157,6,149
143,148,156,161,152,149,148,144
141,77,149,89,83,143,77,142
132,185,146,202,193,137,185,132
131,162,153,179,171,142,162,132
127,229,136,240,234,130,229,127
118,14,130,30,24,125,14,119
112,180,130,203,197,115,180,113
106,82,116,91,86,110,82,107
101,154,116,171,162,107,154,101
90,43,106,58,51,95,43,90
88,212,99,227,217,93,212,89
74,108,83,118,112,79,108,75
70,145,87,173,150,78,145,71
63,154,69,161,157,65,154,63
60,164,67,171,167,62,164,61
57,177,81,207,187,63,177,58
53,100,61,110,106,55,100,54
53,75,68,95,89,61,75,53
46,226,70,245,231,50,226,46
44,175,54,187,181,49,175,44
39,151,57,168,156,46,151,39
37,198,60,211,205,41,198,37
32,218,47,231,223,43,218,32
30,28,42,38,32,36,28,31
24,241,30,249,245,26,241,24
21,43,31,53,47,27,43,21
15,187,32,218,207,24,187,15
10,28,24,39,33,14,28,11
7,226,13,231,228,8,227,7
3,187,13,200,193,7,187,3
1,77,5,81,78,3,77,1
1,57,9,65,59,6,57,2
