min_row,min_col,max_row,max_col,pos_x,pos_y,neg_x,neg_y
238,230,255,246,240,249,230,238
230,23,253,36,30,239,23,231
229,140,250,153,143,233,140,229
229,3,248,17,9,234,3,230
224,150,231,156,152,225,150,224
224,75,231,83,79,226,75,224
224,66,232,74,70,228,66,227
220,180,230,189,185,224,180,221
219,104,238,119,113,226,104,220
209,58,225,75,63,218,58,210
208,231,215,239,235,211,231,208
205,165,218,192,182,208,165,206
204,40,220,54,48,213,40,205
202,149,213,164,157,209,149,202
201,248,206,255,251,202,248,202
194,100,210,115,106,202,100,194
187,2,204,19,8,195,2,187
185,232,199,254,249,189,232,186
185,46,200,72,52,194,46,186
180,109,201,124,109,200,109,180
175,176,185,183,179,179,176,176
174,245,180,255,249,176,245,174
168,156,188,173,163,180,156,169
165,139,178,156,145,171,139,166
161,202,174,224,216,166,202,161
158,26,173,37,30,165,26,158
152,180,172,203,194,158,180,153
147,1,162,12,5,152,1,148
146,42,166,59,48,156,42,147
132,163,148,180,170,140,163,132
131,204,147,216,210,137,204,131
130,225,144,252,230,133,225,130
121,64,137,80,73,127,64,121
106,236,115,247,241,110,236,107
101,9,117,27,13,110,9,102
93,43,124,62,55,113,43,95
89,183,124,216,203,107,183,90
83,34,95,52,39,86,34,84
80,184,89,192,186,84,184,80
77,154,95,171,162,85,154,78
76,215,90,230,222,85,215,76
70,241,84,251,246,76,241,71
62,93,74,106,98,66,93,62
60,64,73,73,69,63,64,61
58,105,72,129,113,61,105,58
56,52,64,62,56,59,52,59
51,249,59,255,252,54,249,51
51,84,63,92,87,59,84,52
44,212,52,220,214,49,212,45
44,126,54,134,129,46,126,44
43,226,55,241,233,49,226,43
40,103,51,118,107,43,103,41
36,66,51,85,78,42,66,36
34,46,52,64,57,45,46,35
21,205,37,229,222,29,205,30
16,3,33,26,8,19,3,17
7,139,20,163,154,14,139,8
5,247,19,255,252,9,247,5
