min_row,min_col,max_row,max_col,pos_x,pos_y,neg_x,neg_y
242,45,255,54,48,246,45,242
239,169,253,187,178,246,169,240
230,64,243,79,68,234,64,231
228,227,247,236,232,240,227,229
222,239,231,247,241,226,239,223
218,81,233,100,89,224,81,219
215,247,224,253,250,221,247,216
213,47,227,61,53,218,47,213
204,217,213,226,219,207,217,205
204,52,210,57,52,207,52,204
199,147,217,162,153,203,147,199
197,61,216,80,69,211,61,200
191,116,199,123,118,196,116,192
180,84,188,93,88,182,84,181
180,57,204,72,64,191,57,180
171,231,189,251,246,182,231,172
165,58,183,70,69,182,58,166
158,1,168,13,7,162,1,158
152,227,167,241,233,160,227,152
151,64,164,76,71,159,64,152
144,44,161,60,51,153,44,144
140,154,158,169,161,149,154,140
123,223,140,239,231,131,223,123
118,43,123,48,45,119,43,121
116,238,128,247,242,121,238,116
116,19,128,42,26,122,19,117
107,73,123,92,79,114,73,107
105,7,115,17,12,110,7,106
101,35,114,55,43,107,35,102
89,247,96,255,249,92,247,89
83,221,95,246,235,88,221,83
80,107,95,123,114,84,107,80
67,4,91,24,11,82,4,67
59,188,76,207,200,65,188,59
47,0,51,5,3,48,0,48
46,85,62,109,104,50,85,56
42,133,57,152,142,46,133,42
40,84,49,97,90,43,84,40
36,239,47,249,244,40,239,39
34,100,52,117,104,50,100,34
29,34,41,46,39,35,34,30
20,153,36,167,162,31,153,20
14,68,29,89,79,20,68,15
12,15,31,34,22,23,15,13
11,211,29,226,217,18,211,12
