min_row,min_col,max_row,max_col,pos_x,pos_y,neg_x,neg_y
222,223,233,233,228,229,223,223
222,167,242,183,178,230,167,222
219,203,231,218,212,223,203,220
210,85,225,98,92,216,85,211
209,231,224,252,240,213,231,209
200,12,215,24,15,210,12,200
187,109,203,126,116,196,109,187
183,42,189,51,47,186,42,183
179,3,192,18,10,186,3,180
168,207,182,226,215,177,207,169
164,32,184,45,40,170,32,164
152,103,170,127,109,158,103,153
127,242,135,255,249,130,242,131
121,244,126,248,245,122,244,121
118,239,122,243,241,120,239,118
112,82,128,99,90,118,82,113
105,58,123,77,67,115,58,106
96,226,111,249,233,100,226,97
72,201,87,216,206,77,201,73
66,26,84,42,33,73,26,67
39,80,55,97,87,46,80,40
38,63,57,80,67,51,63,39
37,195,61,211,200,41,195,37
30,9,49,23,18,38,9,31
3,227,16,243,236,10,227,3
