min_row,min_col,max_row,max_col,pos_x,pos_y,neg_x,neg_y
248,106,255,112,109,251,106,250
237,52,248,66,60,245,52,238
233,195,243,205,200,237,195,234
230,18,246,29,22,242,18,230
227,99,240,112,109,232,99,227
226,114,234,121,118,231,114,226
221,67,247,98,90,240,67,222
219,4,228,13,8,224,4,219
218,147,236,169,161,223,147,219
212,188,223,201,194,216,188,212
208,58,219,70,64,211,58,209
206,8,224,25,17,217,8,206
204,112,219,133,124,209,112,205
197,161,219,184,177,205,161,198
195,92,216,106,100,208,92,196
193,226,211,241,233,203,226,194
190,120,200,127,123,196,120,192
187,193,202,210,201,198,193,187
187,19,193,28,22,189,19,187
186,76,194,83,80,190,76,187
182,246,189,254,249,185,246,183
170,79,181,93,85,174,79,171
166,43,174,53,48,171,43,166
158,80,163,87,82,160,80,158
155,124,174,139,131,164,124,155
153,229,176,250,242,163,229,154
152,151,159,160,157,155,151,152
151,162,160,175,165,156,162,152
147,99,153,107,103,149,99,148
139,135,154,155,142,148,135,139
132,68,155,96,72,145,68,132
126,178,144,203,192,130,178,126
119,32,137,53,38,125,32,120
116,199,130,218,209,122,199,116
114,135,122,151,139,119,135,114
113,155,135,168,165,126,155,114
105,66,117,80,73,110,66,106
99,1,110,12,7,102,1,100
95,236,110,247,238,98,236,95
94,76,106,87,82,101,76,95
87,55,95,61,59,91,55,88
81,1,90,9,5,85,1,81
76,18,96,34,24,89,18,76
74,182,92,213,198,82,182,75
69,232,90,249,240,81,232,69
69,160,76,168,164,72,160,70
60,220,67,230,222,63,220,60
59,138,75,155,146,67,138,59
58,106,74,122,111,62,106,59
56,118,72,136,125,62,118,57
53,188,68,202,194,61,188,53
50,2,58,15,5,53,2,51
49,169,62,184,177,55,169,49
48,100,56,108,103,50,100,49
43,228,50,240,233,45,228,43
43,213,52,224,218,46,213,43
38,9,45,16,11,42,9,38
36,168,43,177,172,39,168,37
35,2,45,8,5,41,2,35
23,235,41,255,244,34,235,24
20,211,34,224,217,28,211,20
20,126,34,148,133,25,126,21
17,16,31,28,20,24,16,18
11,243,22,255,250,15,243,12
8,64,29,82,72,15,64,9
5,152,23,169,160,9,152,6
5,108,25,122,114,16,108,5
