min_row,min_col,max_row,max_col,pos_x,pos_y,neg_x,neg_y
221,18,241,37,24,234,18,222
200,35,218,51,43,208,35,200
186,71,195,79,75,189,71,187
172,35,190,57,45,182,35,172
169,22,184,35,28,177,22,170
156,76,171,92,86,164,76,156
140,9,156,23,17,152,9,141
125,50,138,69,53,133,50,126
111,4,125,22,12,117,4,111
104,115,120,133,118,112,115,104
92,13,114,28,20,104,13,95
88,117,100,131,123,94,117,88
88,97,100,108,104,91,97,89
82,61,107,73,65,94,61,82
72,19,81,31,25,76,19,73
47,162,59,179,173,55,162,48
47,129,63,145,135,56,129,47
40,74,51,83,78,43,74,41
37,99,55,116,108,42,99,41
32,98,39,104,100,35,98,36
29,152,37,167,163,34,152,29
27,10,45,29,14,34,10,27
24,127,44,139,131,39,127,24
10,175,28,194,183,19,175,11
2,220,23,234,225,11,220,3
