min_row,min_col,max_row,max_col,pos_x,pos_y,neg_x,neg_y
247,143,255,159,153,250,143,247
244,95,252,100,96,246,95,248
244,13,254,25,19,249,13,244
237,109,247,122,116,241,109,238
227,94,245,111,102,230,94,228
223,117,235,138,128,231,117,224
221,35,239,61,48,227,35,221
219,16,235,33,26,225,16,219
216,74,234,91,83,226,74,217
204,104,212,110,107,207,104,204
200,21,212,37,33,202,21,201
198,86,217,99,92,208,86,198
189,56,200,65,61,195,56,192
183,10,206,24,14,200,10,184
114,1,118,8,4,116,1,114
89,121,99,130,125,95,121,90
79,133,90,154,140,84,133,79
73,15,79,21,17,76,15,73
67,103,89,120,108,73,103,67
66,85,78,93,87,75,85,69
66,31,84,51,40,72,31,70
64,71,75,81,75,71,71,64
47,87,69,104,95,52,87,48
46,29,69,43,35,58,29,46
45,173,67,186,179,49,173,46
45,46,67,66,54,51,46,45
41,69,61,84,76,50,69,41
36,158,49,170,162,45,158,37
22,74,41,86,80,26,74,23
19,173,35,188,182,30,173,19
19,133,31,149,138,23,133,19
14,198,40,216,209,20,198,21
11,53,28,65,57,20,53,12
7,94,22,114,99,17,94,12
6,190,15,198,194,11,190,7
6,2,24,20,9,11,2,7
4,153,18,169,165,8,153,5
2,86,12,99,91,6,86,2
1,54,10,67,62,6,54,1
